,,Question,Reason,A1,A2,A3,A4,,,Link,Remarks,,
,Personal Factors,Section 1: Demographic Factors,,,,,,,,,,,
1,Age,What is your current age? ,"According to a 2024 study by American Cancer Society, breast cancer risk increases with age: Compare to women below 50, women aged 50-59 have a 14% higher risk (RR ≈ 1.14), 60-69 a 67% higher risk (RR ≈ 1.67), and ≥70 a 233% higher risk (RR ≈ 3.33).",Age,,,,,Choose a number from the list (20-80). ,https://acsjournals.onlinelibrary.wiley.com/doi/full/10.3322/caac.21763,"According to a 2024 study by American Cancer Society, breast cancer risk increases with age: Compare to women below 50, women aged 50-59 have a 14% higher risk (RR ≈ 1.14), 60-69 a 67% higher risk (RR ≈ 1.67), and ≥70 a 233% higher risk (RR ≈ 3.33).",,
2,Country,Which country are you residing now?,"According to a 2024 study by American Cancer Society, 1 in 8 women in US will develop cancer in their lifetime",Country,,,,,Choose from the list of countries,,,,
3,Ethnicity,What is your racial/ethnic background? ,"According to a 2024 study by American Cancer Society, breast cancer risk varies by ethnicity: Compare to Asian women, Black women is 2.25 times higher, American Indian is 1.74 times higher, White (non-Hispanic) women is 1.64 times higher,  Hispanic women is 1.15 times higher due to differences in genetic predispositions.",A) White (non-Hispanic),B) Black,C) Asian,D) Hispanic/Latino,E) American Indian,Select one only. If A is selected ,https://acsjournals.onlinelibrary.wiley.com/doi/full/10.3322/caac.21583,"According to a 2024 study by American Cancer Society, breast cancer risk varies by ethnicity: Compare to Asian women, Black women is 2.25 times higher, American Indian is 1.74 times higher, White (non-Hispanic) women is 1.64 times higher,  Hispanic women is 1.15 times higher due to differences in genetic predispositions.",,
,Genetic Risk Factors,Section  2: Family History and Genetics Factors,,,,,,,,,,,
4,Family History,"Do you have a first-degree relative (mother, sister, daughter) or second-degree relative with breast cancer (BC)? ","According to a 1997 study by Cambridge Institute of Public Health, having a first-degree relative or second-degree relative with breast cancer (BC) increases your lifetime breast cancer risk by approximately 100% (relative risk, RR ≈ 2.0), and 50% (RR≈ 1.5) respectively.","A) Yes, I have first-degree relative with BC","B) Yes, I have second-degree relative with BC","C) Yes, I have both first-degree relative and second-degree relative with BC","D) No, I do not have any relative with BC",,"Select one only. If A or C is selected, RR is 2.0. If B is selected RR is 1.5, If D is selected RR is 1",https://pubmed.ncbi.nlm.nih.gov/9180149/,,2,
5,BRCA1/2 Test,Have you ever been told you have one of the following genetic or family cancer syndromes after having genetic testing?,"According to a 2017 study by Kuchenbaecker et al., specific genetic mutations can significantly increase breast cancer risk. Women with a BRCA1/2 mutation have a 70% risk (RR ≈ 1.7)",A) BRCA1/2,B) No condition,C) Not tested,,,"Select one only. If A is selected, RR is 1.7. If B or C is selected, RR is 1",https://jamanetwork.com/journals/jama/fullarticle/2632503,,1.7,3.4
,Hormonal Risk Factors,Section 3: Reproductive and Hormonal Factors,,,,,,,,,,,
6,Menstrual Age,At what age did you have your first menstrual period?,"According to a 2021 study by Geunwon et al., early menarche (before age 12) increases breast cancer risk by 10-20% (RR ≈ 1.10-1.20) due to prolonged estrogen exposure.",A) Before 12 years old,B) 12 years old or later,C) Not Yet,,,"Select one only. If A is selected, RR is 1.1-1.2. If B or C is selected, RR is 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC3488186/,,1.2,8.16
7,Pregnancy Age,"Have you ever been pregnant? If yes, At what age did you have your first full-term pregnancy?","according to a 2012 meta-analysis by the Collaborative Group in Breast Cancer, Women who have never had a full-term pregnancy have approximately a 27% increased risk (RR ≈ 1.27). Also, according to a 2018 study by Nichols et al., women who have their first full-term pregnancy after age 30 or between ages 25-29 have a 20-40%  (relative risk, RR ≈ 1.20-1.40)  or 10-20%  (relative risk, RR ≈ 1.10-1.20)  increased lifetime risk of breast cancer respectively.",A) Never had a full-term pregnancy,B) Age 30 or older,C) Age 25-29,D) Before age 25,,"Select one only. If A is selected, RR is 1.27, If B is selected, RR is 1.2-1.4. If C is selected RR is 1.1-1.2, If D is selected, RR is 1 ",https://pmc.ncbi.nlm.nih.gov/articles/PMC3105439/,,1.4,11.424
8,Oral Contraceptives ,"Have you ever used hormonal birth control (e.g., pills, patches, injections)?","According to the National Cancer Institute, women who have ever used oral contraceptives have a slight 7% (RR ≈ 1.07) increase in the risk of breast cancer compared to those who have never used them. Current users have a 24% (RR ≈ 1.24) increase in risk, which declines after stopping use.","A) Yes, currently using","B) Yes, used in the past","C) No, never used",,,"Select one only. If A is selected, RR is 1.24. If B is selected, RR is 1.07 is selected, RR is 1",https://www.cancer.gov/about-cancer/causes-prevention/risk/hormones/oral-contraceptives-fact-sheet,,1.24,14.16576
9,Menopause,Have you gone without a menstrual period for 12 or more consecutive months (excluding pregnancy or medical conditions)?,"According to the American Cancer Society, women who have gone through menopause have a higher risk of breast cancer compared to pre-menopausal women of the same age. Studies show a relative risk (RR) of approximately 1.5–2.0 for post-menopausal women, largely due to changes in hormone levels, especially estrogen, after menopause.","A) Yes, at age 55 or older","B) Yes, before age 55",C) Not yet,,,"Select one only. If A is selected, RR is 1.5-2. If B or C is selected, RR is 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC3488186/,,2,28.33152
10,Weight,Is your Body Mass Index (Weight (kg) / Height (m)^2) 30 or higher (indicating obesity)? ,"According to a 2018 meta-analysis by Liu et al., obesity (BMI ≥ 30) in postmenopausal women increases breast cancer risk by approximately 31% (RR ≈ 1.31), due to elevated estrogen levels from fat tissue.",Weight (Kg),Height (m),,,,"Choose a number from Weight (40kg - 100kg). Height (1.5-2). If BMI is 30 or above and Answer A or B for question 9, RR is 1.3",https://pubmed.ncbi.nlm.nih.gov/15252848/,,1.3,36.830976
11,Height,,,,,,,,,,,,
12,HRT,Have you ever used Combined Hormone Replacement Therapy (HRT) for more than 5 years?,"According to a 2020 study by Vinogradova et al., women who use combined estrogen-progestin HRT for more than 5 years have a 20-30% increased risk of breast cancer (relative risk, RR ≈ 1.20-1.30) ",A) Yes,B) No,,,,"Select one only. If A is selected, RR is 1.2-1.3. If B is selected, RR is 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC7592147/,,,
,Symptom,Section 4: Symptom Risk Factors,,,,,,,,,,,
